display_name,emoji
Fresh Nectarines,🍑
Fresh Nectarines (with stones),🍑
Rice Noodles,🍜
Nougat (homemade),🍛
Mixed Nut and Rice Roast,🥜
Mixed Nut and Sunflower Seed Roast,🥜
Mixed Nut and Vegetable Roast,🥜
Nut Croquettes (sunflower oil fried),🥜
Nut Croquettes (vegetable oil fried),🥜
Nut Cutlets (sunflower oil fried),🥜
Nut Cutlets (vegetable oil fried),🥜
Grilled Nut Cutlets,🥜
Nut Roast,🥜
"Nut, Mushroom and Rice Roast",🥜
Ground Nutmeg,🥜
Mixed Nuts,🥜
Oatcakes (homemade),🍰
Oatcakes,🍰
Coconut Oil,🥥
Cod Liver Oil,🐟
Corn Oil,🌽
Cottonseed Oil,☁️
Evening Primrose Oil,🌹
Grapeseed Oil,🍇
Hazelnut Oil,🥜
Olive Oil,🫒
Palm Oil,🌴
Peanut Oil,🥜
Rapeseed Oil,🍳
Safflower Oil,🍳
Sesame Oil,🍳
Soya Oil,🫛
Sunflower Oil,🌻
Vegetable Oil,🥦
Walnut Oil,🥜
Wheatgerm Oil,🌾
Greek-Style Okra with Tomatoes and Onions,🥒
West Indian Okra with Tomatoes and Onion,🥒
Boiled Okra,🥒
Raw Okra,🥒
Stir-Fried Okra,🥒
Green Olives,🫒
Green Olives with Stones,🫒
Curried Omelette,🍛
Plain Omelette,🍳
Spanish Omelette,🍳
Baked Onions,🧅
Boiled Onions,🧅
Dried Onions,🧅
Fried Onions (Corn Oil),🧅
Fried Onions (Lard),🧅
Fried Onions (Rapeseed Oil),🧅
Fried Onions (Sunflower Oil),🧅
Pickled Onions,🥒
Raw Onions,🧅
Ambient Orange Juice,🍊
Chilled Orange Juice,🍊
Fresh Orange Juice,🍊
Fresh Oranges (for Juicing),🍊
Orange Roughy,🍊
Orange Segments,🍊
Whole Oranges,🍊
Dried Oregano,🌱
Fresh Oregano,🌱
Ortanique Segments,🍛
Steamed Pak Choi,🫖
Restaurant Vegetable Pakora,🥦
Aubergine Pakora,🍆
Cauliflower Pakora,🥦
Onion Pakora,🧅
Potato and Cauliflower Pakora,🥔
"Mixed Vegetable Pakora (Potato, Carrot and Pea)",🥔
Potato Pakora,🥔
Spinach Pakora,🥬
Store-Bought Vegetable Pakora,🥦
Homemade Pakoras,🍛
Vegetable Stuffed Pancakes,🥞
Wholemeal Vegetable Stuffed Pancakes,🥞
Papadums,🍛
Fresh Papaya,🍊
Whole Papaya,🍊
Green Papaya,🍊
Paprika,🍛
Paratha,🍛
Dried Parsley,🌱
Fresh Parsley,🌱
Boiled Parsnip,🥕
Raw Parsnip,🥕
Roasted Parsnip,🥕
Passion Fruit Juice,🍎
Passion Fruit Pulp,🍎
Whole Passion Fruit,🍎
Dried Pasta and Sauce Mix,🍝
Flavored Dried Pasta,🍝
Fresh Cooked Pasta,🍝
Canned Spaghetti in Tomato Sauce,🍝
White Fusilli Pasta (Unsalted),🍝
White Pasta (Boiled),🍝
Dried White Pasta,🍝
White Spaghetti (Unsalted),🍝
White Fusilli Pasta (Salted),🍝
Wholewheat Spaghetti,🍝
Dried Wholewheat Spaghetti,🍝
Asian Pastries,🥐
Danish Pastries,🥐
Baklava,🥐
Cooked Choux Pastry,🥐
Uncooked Choux Pastry,🥐
Cooked Filo Pastry,🥐
Uncooked Filo Pastry,🥐
Cooked Flaky Pastry,🥐
Uncooked Flaky Pastry,🥐
Cooked Puff Pastry,🥐
Uncooked Puff Pastry,🥐
Cooked Shortcrust Pastry,🥐
Store-Bought Shortcrust Pastry (Cooked),🥐
Store-Bought Shortcrust Pastry (Uncooked),🥐
Uncooked Shortcrust Pastry,🥐
Cooked Wholemeal Pastry,🥐
Uncooked Wholemeal Pastry,🥐
Vegetable Pasty,🥟
Wholemeal Vegetable Pasty,🥟
Raw Patra Leaves,🥬
Peach Melba,🍑
Canned Peaches in Juice,🍑
Canned Peaches in Syrup,🍑
Whole Peaches,🍑
Fresh Peaches,🍑
Peanut Brittle,🥜
Mixed Peanuts and Raisins,🥜
Dry Roasted Peanuts,🥜
Plain Unsalted Peanuts,🥜
Whole Peanuts (in Shell),🥜
Roasted and Salted Peanuts,🥜
Whole Pears,🍐
Fresh Pear Segments,🍐
Stewed Pears with Sugar,🍐
Stewed Pears,🍐
Canned Pears in Juice,🍐
Dried Pears,🍐
Raw Nashi Pears,🍐
Raw Nashi Pears (with core),🍐
Fresh Pears,🍐
Fresh Pears (peeled),🍐
Boiled Peas,🫛
Canned Peas,🫛
Boiled Dried Peas,🫛
Raw Dried Peas,🫛
Boiled Frozen Peas,🫛
Microwaved Frozen Peas,🫛
Frozen Peas,🫛
Boiled Mange-tout Peas,🫛
Raw Mange-tout Peas,🫛
Stir-fried Mange-tout Peas,🫛
Canned Marrowfat Peas,🫛
Mushy Peas,🫛
Raw Peas,🫛
Boiled Split Peas,🫛
Raw Split Peas,🫛
Boiled Sugar-snap Peas,🫛
Raw Sugar-snap Peas,🫛
Pecan Nuts,🥜
Pecan Nuts (with shells),🥜
Mixed Peel,🍛
Black Pepper,🌶️
Boiled Red Bell Pepper,🌶️
Fresh Red Bell Pepper,🌶️
Boiled Yellow Bell Pepper,🌶️
Fresh Yellow Bell Pepper,🌶️
Ground Cayenne Pepper,🌶️
White Pepper,🌶️
Peppermints,🌶️
Fresh Green Chili Peppers,🌶️
Fresh Red Chili Peppers,🌶️
Boiled Green Bell Pepper,🌶️
Fresh Green Bell Pepper,🌶️
Stuffed Green Peppers with Rice,🍚
Homemade Pesto Sauce,🍛
Green Pesto,🍛
Red Pesto,🍛
Physalis,🍛
Piccalilli,🍛
Sweet Pickle,🥒
Homemade Apple Pie (single crust),🥧
Homemade Apple Pie (double crust),🥧
Deep Filled Apple Pie,🥧
Store-bought Apple Pie,🥧
Homemade Wholemeal Apple Pie (single crust),🥧
Homemade Wholemeal Apple Pie (double crust),🥧
Banoffee Pie,🥧
Individual Fruit Pie,🥧
Homemade Fruit Pie (single crust),🥧
Homemade Blackcurrant Pie,🥧
Homemade Fruit Pie (double crust),🥧
Homemade Wholemeal Fruit Pie (single crust),🥧
Homemade Wholemeal Blackcurrant Pie,🥧
Homemade Wholemeal Fruit Pie (double crust),🥧
Homemade Wholemeal Fruit Pie with Filling,🥧
Homemade Fruit Pie with Filling,🥧
Lemon Meringue Pie,🥧
Quorn and Vegetable Pie,🥧
Homemade Spinach Pie,🥧
Homemade Vegetable Pie,🥧
Homemade Wholemeal Vegetable Pie,🥧
Rice Pilaf with Spinach,🍚
Rice Pilaf with Tomato,🍚
Mushroom Pilau,🍄
Vegetable Pilau,🥦
Pine Nuts,🥜
Unsweetened Pineapple Juice,🍍
Canned Pineapple in Juice,🍍
Canned Pineapple in Syrup,🍍
Dried Pineapple,🍍
Fresh Pineapple,🍍
Fresh Pineapple (with skin),🍍
Pinni,🍛
Roasted Salted Pistachios,🥜
Roasted Salted Pistachios (with shells),🥜
Pizza Base,🍕
Homemade Tomato Pizza,🍕
Vegetarian Pizza,🍕
Boiled Plantain,🍛
Raw Green Plantain,🍛
Fried Ripe Plantain,🍛
Stewed Plums with Sugar,🍑
Stewed Plums,🍑
Stewed Plums (with stones),🍑
Stewed Plums with Sugar,🍑
Fresh Dessert Plums,🍑
Fresh Dessert Plums (with stones),🍑
Fresh Victoria Plums,🍑
Fresh Victoria Plums (with stones),🍑
Stewed Victoria Plums,🍑
Stewed Victoria Plums (with stones),🍑
Fresh Yellow Plums,🍑
Fresh Yellow Plums (with stones),🍑
Polenta,🍛
Baked Alaskan Pollock,🐟
Pomegranate Juice Drink,🍑
Pomegranate,🍑
Fresh Pomegranate,🍑
Pomelo,🍛
Fresh Pomelo,🍛
Raw Black Pomfret,🍛
Raw White Pomfret,🍛
Candied Popcorn,🍿
Salted Popcorn,🍿
Poppy Seeds,🫘
Plain Porridge Oats,🌾
Water Porridge,🍛
Port Wine,🍷
Pot Savouries,🍲
Prepared Pot Savouries,🍲
Fried Potato Cakes,🥔
Crinkle Cut French Fries,🍟
Fast Food French Fries,🍟
Fine Cut French Fries,🍟
Corn Oil French Fries,🍟
Beef Dripping French Fries,🍟
Takeaway Chip Shop Fries,🍟
Palm Oil Chip Shop Fries,🍟
Rapeseed Oil Chip Shop Fries,🍟
Homemade Corn Oil French Fries,🍟
Homemade Beef Dripping French Fries,🍟
Homemade Rapeseed Oil French Fries,🍟
Homemade Sunflower Oil French Fries,🍟
Microwave French Fries,🍟
Baked French Fries,🍟
Battered Baked French Fries,🍟
Straight Cut French Fries,🍟
Straight Cut Corn Oil French Fries,🍟
Straight Cut Beef Dripping French Fries,🍟
Thick Cut Corn Oil French Fries,🍟
Sunflower Oil Potato Crisps,🥔
Low Fat Potato Crisps,🥔
Fried Potato Croquettes,🥔
Instant Mashed Potatoes,🥔
Raw Instant Potato Powder,🥔
Baked Shaped Potato Products,🥔
Potato Rings,🥔
Pringles-Style Potato Crisps,🥔
Cooked Potato Wedges,🍟
"Potato, Leek and Celery Bake",🥔
Duchesse Potatoes,🥔
Boiled New Potatoes with Skin,🥔
Unsalted Boiled New Potatoes,🥔
Raw New Potatoes,🥔
Roasted New Potatoes,🥔
Baked Potato with Skin,🥔
Baked Potato,🥔
Fresh Baked Potato,🥔
Boiled Potatoes,🥔
Plain Boiled Potatoes,🥔
Reduced Fat Mashed Potatoes,🥔
Microwaved Potato with Skin,🥔
Homemade Sunflower Oil Potato Wedges,🍟
Raw Potatoes,🥔
Corn Oil Roast Potatoes,🥔
Lard Roast Potatoes,🥔
Rapeseed Oil Roast Potatoes,🥔
Sunflower Oil Roast Potatoes,🥔
Homemade Rapeseed Oil Potato Wedges,🍟
Mixed Spirit Drinks,🍶
Prickly Pears,🫛
Frozen Profiteroles with Sauce,🧊
Prune Juice,🧃
Canned Prunes in Juice,🥫
Prunes,🍇
Sweetened Stewed Prunes,🍇
Fresh Stewed Prunes with Sugar,🍇
Plain Stewed Prunes,🍇
Fresh Stewed Prunes,🍇
Fresh Prunes,🍇
Semi-Dried Prunes,🍇
Fresh Semi-Dried Prunes,🍇
Homemade Christmas Pudding,🥮
Traditional Christmas Pudding,🥮
Homemade Eve's Pudding,🥮
Homemade Queen of Puddings,🥮
Canned Rice Pudding,🍚
Low Fat Rice Pudding,🍚
Canned Sponge Pudding,🥫
Homemade Sponge Pudding,🥮
Fruit Sponge Pudding,🍎
Jam or Treacle Sponge Pudding,🥮
Homemade Spotted Dick,🍲
Homemade Suet Pudding,🍛
Pumpkin Seeds,🎃
Boiled Pumpkin,🎃
Raw Pumpkin,🎃
Homemade Puri,🍛
Homemade Mushroom Quiche,🥧
Homemade Wholemeal Mushroom Quiche,🥧
Store-Bought Vegetable Quiche,🥧
Fresh Quince,🍏
Raw Quinoa,🫘
Quorn Korma,🍛
Quorn Pieces,🍛
Raw Radicchio,🥬
Raw Radish Leaves,🥬
Red Radish,🌰
White Radish (Mooli),🍛
Raisins,🍇
Raita,🍛
Gram Flour Raita,🫘
Rambutan,🍛
Raw Rape Leaves,🥬
Fresh Raspberries,🫒
Stewed Raspberries with Sugar,🫒
Stewed Raspberries,🫒
Homemade Ratatouille,🍛
Red Pea Loaf,🫛
Boiled Red Rice,🍚
Fresh Redcurrants,🍇
Stewed Redcurrants with Sugar,🍇
Stewed Redcurrants,🍇
Refried Beans,🫘
Mixed Vegetable Relish,🥦
Tomato Relish,🍅
Fresh Rhubarb,🍛
Stewed Rhubarb with Sugar,🍛
Stewed Rhubarb,🍛
Rice with Black-Eye Beans,🍚
Brown Rice with Black-Eye Beans,🍚
Rice with Pigeon Peas,🍚
Brown Rice with Pigeon Peas,🍚
Rice with Red Kidney Beans,🍚
Brown Rice with Red Kidney Beans,🍚
Rice with Split Peas,🍚
Brown Rice with Split Peas,🍚
Boiled Brown Basmati Rice,🍚
Brown Basmati Rice,🍚
Boiled Easy-Cook Brown Rice,🍚
Easy-Cook Brown Rice,🍚
Boiled Brown Rice,🍚
Brown Rice,🍚
Plain Pilau Rice,🍚
Plain Reheated Rice,🍚
Red Rice,🍚
Boiled Thai Fragrant Rice,🍚
Thai Fragrant Rice,🍚
Boiled Basmati Rice,🍚
Boiled Easy-Cook Basmati Rice,🍚
Easy-Cook Basmati Rice,🍚
Basmati Rice,🍚
Boiled Arborio Rice,🍚
Arborio Rice,🍚
Boiled Long Grain Rice,🍚
Boiled Easy-Cook Long Grain Rice,🍚
Easy-Cook Long Grain Rice,🍚
Long Grain Rice,🍚
Pudding Rice,🍚
Boiled Wild Rice,🍚
Wild Rice,🍚
Plain Risotto,🍚
Brown Rice Vegetable Risotto,🍚
Vegetable Risotto,🥦
Brown Rice Rissoles (Sunflower Oil),🍚
Brown Rice Rissoles (Vegetable Oil),🍚
Chickpea Rissoles (Sunflower Oil),🫛
Chickpea Rissoles (Vegetable Oil),🥦
Lentil Rissoles (Sunflower Oil),🐟
Lentil Rissoles (Vegetable Oil),🥦
Vegetable Rissoles (Sunflower Oil),🥦
Vegetable Rissoles (Vegetable Oil),🥦
Rock Cakes,🍰
Fresh Rocket,🥬
Dried Rosemary,🌱
Fresh Rosemary,🌱
Spinach Roulade,🥬
Rum Baba,🍛
Rusks,🍛
Saag,🍛
Saffron,🍛
Ground Sage,🌱
Fresh Sage,🌱
Sago,🍛
Beetroot and Onion Salad,🥗
Greek Salad,🥗
Green Salad,🥗
Pasta Salad with Vegetables,🍝
French-Dressed Potato Salad,🥗
Potato Salad with Mayonnaise,🥗
Store-Bought Potato Salad,🥗
Brown Rice Salad,🥗
Rice Salad,🥗
Tomato and Onion Salad,🥗
Waldorf Salad,🥗
Wholemeal Pasta Salad,🍝
Boiled Salsify,🍛
Fresh Salsify,🍛
Salt,🧂
Sambar,🍛
Vegetable Samosas,🥦
Ham Salad Sandwich,🥪
Sapodilla,🍛
Sweet and Sour Sauce,🍛
Chinese Stir Fry Sauce,🍜
Curry Sauce with Onion,🍛
Sweet Curry Sauce,🍛
Tomato and Onion Curry Sauce,🍛
Dry Casserole Mix,🍛
Prepared Casserole Sauce,🍛
Duck à l'Orange Sauce,🍗
Korma/Tikka Masala Sauce,🍛
Carbonara Sauce,🍛
Bolognese Sauce,🍝
Napoletana Sauce,🍛
Light Tomato Pasta Sauce,🍝
Vegetable Pasta Sauce,🍝
White Sauce with Ham and Mushrooms,🍖
Takeaway Sweet and Sour Sauce,🍛
Tomato and Mushroom Sauce,🍅
Tomato Sauce,🍅
Traditional Tomato Cooking Sauce,🍅
Traditional White Cooking Sauce,🍛
Indian Cooking Sauces,🍛
Sauerkraut,🍛
Vegetarian Sausages,🍖
Store-Bought Fruit Scones,🍎
Wholemeal Fruit Scones,🍎
Plain Scones,🍛
Store-Bought Plain Scones,🍛
Potato Scones,🥔
Wholemeal Scones,🍛
Scotch Broth,🍛
Scotch Pancakes,🥞
Store-Bought Scotch Pancakes,🥞
Boiled Seakale,🥦
Irish Moss Seaweed,🥬
Dried Kombu,🥬
Dried Nori,🥬
Dried Wakame,🥬
Semolina,🍛
Sesame Seeds,🍛
Sev/Ganthia,🍛
Sevyian,🍛
Shallots,🧅
Homemade Shandy,🍾
Bottled Shandy,🍾
Sharon Fruit,🍎
Vegetable Shepherd's Pie,🥧
Store-Bought Vegetable Shepherd's Pie,🥧
Medium Sherry,🍾
Shortbread,🍞
Chocolate Caramel Shortcake,🍰
Chocolate Candies,🍫
Smoothies,🥛
Fruit Sorbet,🍎
Cheese Soufflé,🍮
Plain Soufflé,🍮
Fresh Broccoli and Stilton Soup,🥦
Fresh Carrot and Coriander Soup,🥕
Carrot and Orange Soup,🍊
Cream of Tomato Soup,🍅
French Onion Soup,🧅
Gazpacho,🍛
Goulash Soup,🍛
Instant Soup Mix,🍛
Prepared Instant Soup,🍛
Canned Lentil Soup,🥫
Homemade Lentil Soup,🍛
Low-Calorie Soup,🍛
Canned Minestrone,🥫
Homemade Minestrone,🍛
Fresh Mushroom Soup,🍄
Cream of Mushroom Soup,🍄
Potato and Leek Soup,🥔
Fresh Tomato Soup,🍅
Canned Vegetable Soup,🥦
Homemade Vegetable Soup,🥦
Soy Sauce,🥢
Boiled Baby Spinach,🥬
Fresh Baby Spinach,🥬
Dried Spinach,🥬
Boiled Frozen Spinach,🥬
Boiled Mature Spinach,🥬
Fresh Mature Spinach,🥬
Spirits (40%),🍶
Boiled Spring Greens,🥬
Fresh Spring Greens,🥬
Whole Spring Onions,🧅
Spring Onion Bulbs,🧅
Baked Acorn Squash,🥜
Fresh Acorn Squash,🥜
Baked Butternut Squash,🥜
Boiled Butternut Squash,🥜
Fresh Butternut Squash,🥜
Baked Spaghetti Squash,🍝
Fresh Spaghetti Squash,🍝
Star Fruit,🍎
Vegetable Stock Cubes,🥦
Stock Gel,🍛
Guinness Stout,🍺
Fresh Strawberries,🍓
Fruit Strudel,🍎
Dried Stuffing Mix,🍛
Prepared Stuffing Mix (Assorted Flavors),🍛
Homemade Sage and Onion Stuffing,🧅
Sugar Apple,🍎
Brown Sugar,🍯
Demerara Sugar,🍯
Icing Sugar,🍯
White Sugar,🍯
Sultanas,🍇
Sunflower Seeds,🌻
Toasted Sunflower Seeds,🍛
Vegetable Sushi,🍙
Boiled Swede,🥬
Raw Swede,🥬
Sweet Potato and Onion Bake,🥔
Baked Sweet Potato,🥔
Boiled Sweet Potato,🥔
Raw Sweet Potato,🥔
Steamed Sweet Potato,🥔
Baked Sweet Potato Wedges,🍟
Boiled Baby Sweetcorn,🌽
Stir-Fried Baby Sweetcorn,🌽
Canned Sweetcorn Kernels,🌽
Dried Sweetcorn,🌽
Corn on the Cob (Boiled),🌽
Corn on the Cob with Core (Boiled),🌽
Raw Corn on the Cob with Core,🌽
Raw Sweetcorn Kernels,🌽
Boiled Sweets,🍬
Chewy Sweets,🍬
Sherbert Sweets,🍬
Dark Corn Syrup,🌽
Golden Syrup,🍯
Tabouleh,🍛
Tahini,🍛
Tamarillos,🍛
Tamarind,🍛
Fresh Tamarind Leaves,🥬
Tamarind Pulp,🍛
Raw Tannia,🍛
Raw Tapioca,🧋
Raw Taro Leaves,🧋
Steamed Taro Leaves,🧋
Baked Taro,🧋
Boiled Taro,🧋
Raw Taro,🧋
Steamed Taro,🧋
Dried Tarragon,🌱
Fresh Tarragon,🌱
Homemade Bakewell Tart,🥮
Homemade Custard Tart,🥮
Tartare Sauce,🥮
Homemade Strawberry Tartlets,🥮
Iced Bakewell Tarts,🥮
Individual Custard Tarts,🥮
Homemade Jam Tarts,🥮
Homemade Wholemeal Jam Tarts,🥮
Black Tea (Medium Strength),🫖
Strong Black Tea,🫖
Weak Black Tea,🫖
Chinese Tea,🫖
Green Tea,🫖
Herbal Tea,🌱
Tempeh,🍛
Fried Tempeh Burgers,🍔
Dried Thyme,🌱
Fresh Thyme,🍛
Tigernuts,🥜
Homemade Tinda Subji,🥫
Tiramisu,🥮
Mixed Toffees,🍛
Baked Tofu Burger,🍔
Tofu Spread,🧈
Steamed Tofu,🫖
Fried Steamed Tofu,🫖
Tomato Juice,🍅
Tomato Ketchup,🍅
Tomato Puree,🍅
Homemade Tomato Sauce,🍅
Canned Tomatoes,🍅
Cherry Tomatoes,🍒
Fried Tomatoes (Corn Oil),🌽
Fried Tomatoes (Rapeseed Oil),🍅
Grilled Tomatoes,🍅
Fresh Tomatoes,🍅
Rice-Stuffed Tomatoes,🍚
Vegetable-Stuffed Tomatoes,🥦
Tonic Water,🥤
Topic/Snickers Bar,🍫
Homemade Tori ki Subji,🍛
Fruit Torte,🍎
Tortilla Chips,🍟
Soft Wheat Tortilla,🌯
Trail Mix,🥜
Homemade Treacle Tart,🥮
Black Treacle,🥮
Store-Bought Fruit Trifle,🍎
Homemade Trifle,🥮
Trifle with Dream Topping,🥮
Homemade Mocha Truffles,🍛
Rum Truffles,🍛
Turkish Delight with Nuts,🥜
Turkish Delight,🍛
Ground Turmeric,🍛
"Turnip Tops, boiled",🌰
Boiled Turnip,🌰
Raw Turnip,🌰
Twiglets,🌳
Tzatziki,🍛
Urad Dahl,🫘
Grilled Vegeburger,🍔
Vegetable Bake,🥦
Stir-Fried Vegetables in Corn Oil,🌽
Stir-Fried Vegetables in Rapeseed Oil,🥦
Stir-Fried Vegetables in Sunflower Oil,🥦
Mixed Vegetables with Spices,🌶️
Boiled Mixed Vegetables,🥦
Stir-Fried Mixed Vegetables,🥦
Takeaway Stir-Fried Vegetables,🥦
Dry Vermouth,🍷
Stuffed Vine Leaves,🥬
Vinegar,🍟
Waffles,🧇
Walnuts,🥜
Walnuts in Shell,🥜
Raw Water Chestnuts,🥜
Distilled Water,🥤
Raw Watercress,🍛
Welsh Cakes,🍰
Welsh Rarebit,🍛
Wholemeal Welsh Rarebit,🍛
Raw Bulgur Wheat,🌾
Wheatgerm,🌾
Raw Whitecurrants,🫒
Sweetened Stewed Whitecurrants,🫒
Stewed Whitecurrants,🫒
Mulled Wine,🍷
Red Wine,🍷
Medium Rosé Wine,🍷
Dry White Wine,🍷
Medium White Wine,🍷
Sparkling White Wine,🍷
Sweet White Wine,🍷
Worcestershire Sauce,🍛
Baked Yam,🍠
Boiled Yam,🍠
Raw Yam,🍠
Steamed Yam,🍠
Yeast Extract,🍞
Baker's Yeast,🍞
Dried Yeast,🍞
Fruit Greek Yogurt,🍎
Plain Greek Yogurt,🥛
Fruit Low-Fat Yogurt,🍎
Hazelnut Low-Fat Yogurt,🥜
Plain Low-Fat Yogurt,🥛
Toffee Low-Fat Yogurt,🥛
Fortified Soya Yogurt with Fruit,🏰
Diet Fruit Yogurt,🍎
Diet Plain Yogurt,🥛
Anchovies in Oil,🐟
Fried Aubergine,🍆
Stuffed Aubergine with Cheese,🍆
Raw Bacha,🍛
Grilled Bacon Loin Steaks,🥓
Grilled Dry-Cured Back Bacon,🥓
Dry-Fried Back Bacon,🥓
Grilled Trimmed Back Bacon,🥓
Raw Trimmed Back Bacon,🥓
Grilled Back Bacon,🥓
Crispy Back Bacon,🥓
Microwaved Back Bacon,🥓
Raw Back Bacon,🥓
Grilled Low-Salt Back Bacon,🥓
Grilled Smoked Back Bacon,🥓
Grilled Sweetcure Back Bacon,🥓
Grilled Tendersweet Back Bacon,🥓
Fried Middle Bacon,🥓
Grilled Middle Bacon,🥓
Raw Middle Bacon,🥓
Fried Streaky Bacon,🥓
Grilled Streaky Bacon,🥓
Raw Streaky Bacon,🥓
Cooked Bacon Fat,🥓
Raw Bacon Fat,🥓
Baked Beans with Pork Sausages,🍖
Baked Sea Bass,🐟
Whole Baked Sea Bass,🐟
Raw Sea Bass,🐟
Whole Raw Sea Bass,🐟
Beef Bourguignon,🥩
Lean Beef Bourguignon,🥩
Beef Extract,🥩
Beef Olives,🥩
Beef Steak Pudding,🥩
Beef Stroganoff,🥩
Beef Wellington,🥩
Braised Beef,🥩
Lean Braised Beef,🥩
Raw Braising Steak,🥩
Raw Braising Steak,🥩
Slow-Cooked Braising Steak (Lean),🥩
Slow-Cooked Braising Steak,🥩
Boiled Beef Brisket (Lean),🥩
Boiled Beef Brisket,🥩
Raw Beef Brisket (Lean),🥩
Raw Beef Brisket,🥩
Cooked Beef Fat,🥩
Raw Beef Fat,🥩
Raw Beef Fat (Extra Trimmed),🥩
Pan-Fried Beef Fillet,🥩
Pan-Fried Beef Fillet (with Fat),🥩
Steakhouse Beef Fillet,🥩
Steakhouse Beef Fillet (with Fat),🥩
Grilled Beef Fillet,🥩
Grilled Beef Fillet (with Fat),🥩
Raw Beef Fillet,🥩
Raw Beef Fillet (with Fat),🥩
Pot-Roasted Beef Flank (Lean),🍲
Pot-Roasted Beef Flank,🍲
Raw Beef Flank (Lean),🥩
Raw Beef Flank,🥩
Microwaved Beef Rib Roast (Lean),🥩
Microwaved Beef Rib Roast,🥩
Microwaved Beef Rib Roast with Bone,🥩
Raw Beef Rib Roast (Lean),🥩
Raw Beef Rib Roast,🥩
Roasted Beef Rib Roast (Lean),🥩
Roasted Beef Rib Roast,🥩
Roasted Beef Rib Roast with Bone,🥩
Raw Beef (Lean),🥩
Raw Beef (Extra Trimmed),🥩
BBQ Beef Patties,🥩
Stewed Extra Lean Beef Mince,🥩
Stewed Frozen Beef Mince,🥩
Microwaved Beef Mince,🥩
Raw Beef Mince,🥩
Raw Extra Lean Beef Mince,🥩
Stewed Beef Mince,🥩
Stewed Beef Mince,🥩
Beef and Vegetable Mince Stew,🥩
Stewed Beef Mince with Onions (Extra Lean),🥩
BBQ Rump Steak (Lean),🥩
BBQ Rump Steak,🥩
Pan-Fried Rump Steak,🥩
Pan-Fried Rump Steak (Lean),🥩
Steakhouse Rump Steak,🥩
Steakhouse Rump Steak (Lean),🥩
Grilled Rump Steak (Lean),🥩
Raw Rump Steak (Lean),🥩
Raw Rump Steak,🥩
Stir-Fried Rump Steak (Lean),🥩
Stir-Fried Rump Steak,🥩
Pot-Roasted Silverside Beef (Lean),🍲
Pot-Roasted Silverside Beef,🍲
Raw Silverside Beef (Lean),🥩
Raw Silverside Beef,🥩
Boiled Salt Beef Silverside (Lean),🥩
Boiled Salt Beef Silverside,🥩
Raw Salt Beef Silverside (Lean),🥩
Raw Salt Beef Silverside,🥩
Roasted Sirloin Joint (Lean),🥩
Roasted Sirloin Joint,🥩
Pan-Fried Sirloin Steak (Lean),🥩
Pan-Fried Sirloin Steak,🥩
Steakhouse Sirloin Steak (Lean),🥩
Steakhouse Sirloin Steak,🥩
Medium-Rare Grilled Sirloin (Lean),🥩
Medium-Rare Grilled Sirloin,🥩
Rare Grilled Sirloin (Lean),🥩
Rare Grilled Sirloin,🥩
Well-Done Grilled Sirloin (Lean),🥩
Well-Done Grilled Sirloin,🥩
Raw Sirloin Steak (Lean),🥩
Raw Sirloin Steak,🥩
"Stewed Beef Stewing Steak (Lean, Frozen)",🥩
Stewed Beef Stewing Steak (Frozen),🥩
Pressure-Cooked Stewing Steak (Lean),🥩
Pressure-Cooked Stewing Steak,🥩
Raw Stewing Steak (Lean),🥩
Raw Stewing Steak,🥩
Stewed Beef Stewing Steak (Lean),🥩
Stewed Beef Stewing Steak,🥩
Beef and Green Pepper Stir-Fry,🥩
Microwaved Topside Beef (Lean),🥩
Microwaved Topside Beef,🥩
Raw Topside Beef (Lean),🥩
Raw Topside Beef,🥩
Medium-Rare Roasted Topside (Lean),🥩
Medium-Rare Roasted Topside,🥩
Well-Done Roasted Topside (Lean),🥩
Well-Done Roasted Topside,🥩
Cabbage and Pea Bhaji,🥬
Cabbage and Potato Bhaji,🥔
"Carrot, Potato and Pea Bhaji",🥔
"Cauliflower, Potato and Pea Bhaji",🥔
Karela Bhaji,🍛
Bangladeshi Okra Bhaji,🥒
Potato Bhaji,🥔
Punjabi Mixed Vegetable Bhaji,🥦
Mixed Vegetable Bhaji,🥦
Chicken Biryani (Takeaway),🍗
Cheese Flavored Biscuits,🍪
American-Style Chocolate Chip Cookies,🍪
Standard Chocolate Chip Cookies,🍪
Half-Chocolate Coated Digestive Biscuits,🍫
Chocolate Coated Biscuits,🍫
Chocolate Coated Cream Biscuits,🍫
Chocolate Coated Marshmallow Biscuits,🍫
Half-Chocolate Coated Oat Biscuits,🍫
Cream Sandwich Biscuits,🥪
Half-Chocolate Coated Shortbread,🍫
Dry-Fried Black Pudding,🥩
Raw Black Pudding,🥩
Grilled Bloater,🐟
Grilled Whole Bloater,🐟
Raw Boal,🍛
Homemade Bolognese Sauce,🍝
Homemade Lean Beef Bolognese Sauce,🍝
Bombay Duck,🍗
Homemade Bouillabaisse,🍛
Boiled Lamb Brain,🍖
Brawn,🍛
Homemade Bread Sauce (Semi-Skimmed Milk),🍞
Homemade Bread Sauce (Skimmed Milk),🍞
Homemade Bread Sauce (Whole Milk),🍞
Honey Nut Cornflakes,🍯
Honey Loops (including Honey Nut Cheerios),🍯
Instant Flavored Oatmeal with Semi-Skimmed Milk,🌾
